"|","|__i","|__lc","|__m","|__n","|__sc","|__ri","|__rm","|__rn","|__t","|__time"
"1532122743964","113638270005391611670","","hyderabad ","Shiva Shiva","","","","","21 Jul 03:09 AM","1532122743964"
"1532131198079","114632999131503215334","1","ambernath","Swarna Latha D Souza","","","","","21 Jul 05:29 AM","1532131198079"
"1532131266097","104750010867231698502","2","can any1 confirm, 5.24 kasara train reached to wch station","Manisha Patel","","","","","21 Jul 05:31 AM","1532131266097"
"1532131416055","115563380552246274654","1","centaral railway local running status","RAM KUMAR SAH","","","","","21 Jul 05:33 AM","1532131416055"
"1532131466433","107067243959933543695","","kote ahe nadigarm ex ","Baburao Dhotre","","","","","21 Jul 05:34 AM","1532131466433"
"1532132547967","108419244559075508369","1","fast train from karjat ? (sent from Dombivli Stn.)","Ume Sb30","","","","","21 Jul 05:52 AM","1532132547967"
"1532132901867","108419244559075508369","","where is the train (sent from Dombivli Stn.)","Ume Sb30","","108419244559075508369","fast train from karjat ? (sent from Dombivli Stn.)","Ume Sb30","21 Jul 05:58 AM","1532132901867"
"1532132973163","105202750000013170402","1","Central train status","Suresh Tiwari","","","","","21 Jul 05:59 AM","1532132973163"
"1532133666572","106589626116496716252","","anybody knows where khopoli fast is? (sent from Ambernath Stn.)","J J","","","","","21 Jul 06:11 AM","1532133666572"
"1532133671988","109090140498501449564","","6:12 CSTM fast late again (sent from Kalyan Stn.)","Sandip Patil","","","","","21 Jul 06:11 AM","1532133671988"
"1532133710313","109090140498501449564","","u mean khopoli to kasara ? (sent from Kalyan Stn.)","Sandip Patil","","106589626116496716252","anybody knows where khopoli fast is? (sent from Ambernath Stn.)","J J","21 Jul 06:11 AM","1532133710313"
"1532133730928","107319667665889256944","","is there any fast train on the way to dom?? (sent from Dombivli Stn.)","Abhijeet Poojary","","","","","21 Jul 06:12 AM","1532133730928"
"1532133741446","107319667665889256944","","please reply asap (sent from Dombivli Stn.)","Abhijeet Poojary","","","","","21 Jul 06:12 AM","1532133741446"
"1532133750298","106589626116496716252","","there is no train for khopoli to kasara what i meant was khopoli to cstm","J J","","109090140498501449564","u mean khopoli to kasara ? (sent from Kalyan Stn.)","Sandip Patil","21 Jul 06:12 AM","1532133750298"
"1532133775772","107319667665889256944","","bro is there any fast train coming from kalyan? (sent from Dombivli Stn.)","Abhijeet Poojary","","109090140498501449564","u mean khopoli to kasara ? (sent from Kalyan Stn.)","Sandip Patil","21 Jul 06:12 AM","1532133775772"
"1532133782876","114191044797986906702","","where is a train in kalyan stn 6.12 (sent from Shahad)","sandesh vinerkar","","","","","21 Jul 06:13 AM","1532133782876"
"1532133784731","109090140498501449564","","sorry khopoli to Cst (sent from Kalyan Stn.)","Sandip Patil","","106589626116496716252","there is no train for khopoli to kasara what i meant was khopoli to cstm","J J","21 Jul 06:13 AM","1532133784731"
"1532133796382","106589626116496716252","","yes😃 (sent from Ulhas Nagar)","J J","","109090140498501449564","sorry khopoli to Cst (sent from Kalyan Stn.)","Sandip Patil","21 Jul 06:13 AM","1532133796382"
"1532133815191","106589626116496716252","","yes  (sent from Ulhas Nagar)","J J","","107319667665889256944","bro is there any fast train coming from kalyan? (sent from Dombivli Stn.)","Abhijeet Poojary","21 Jul 06:13 AM","1532133815191"
"1532133822980","107319667665889256944","","fast train h kya bhai? (sent from Dombivli Stn.)","Abhijeet Poojary","","106589626116496716252","yes😃 (sent from Ulhas Nagar)","J J","21 Jul 06:13 AM","1532133822980"
"1532133836671","106589626116496716252","","ha hai aari hai wait krle thoda (sent from Ambernath Stn.)","J J","","107319667665889256944","fast train h kya bhai? (sent from Dombivli Stn.)","Abhijeet Poojary","21 Jul 06:13 AM","1532133836671"
"1532133854084","107319667665889256944","","kaha pe hai abi train? (sent from Dombivli Stn.)","Abhijeet Poojary","","106589626116496716252","ha hai aari hai wait krle thoda (sent from Ambernath Stn.)","J J","21 Jul 06:14 AM","1532133854084"
"1532133891494","114191044797986906702","","fast reply (sent from Vithalwadi)","sandesh vinerkar","","","","","21 Jul 06:14 AM","1532133891494"
"1532133904902","109090140498501449564","","6:12cst fast running late .. announced at Kalyan (sent from Kalyan Stn.)","Sandip Patil","","","","","21 Jul 06:15 AM","1532133904902"
"1532133915842","106589626116496716252","","ulhas (sent from Ambernath Stn.)","J J","","107319667665889256944","kaha pe hai abi train? (sent from Dombivli Stn.)","Abhijeet Poojary","21 Jul 06:15 AM","1532133915842"
"1532133963967","106589626116496716252","","15 mins late train from khopoli to csmt  (sent from Ambernath Stn.)","J J","","","","","21 Jul 06:16 AM","1532133963967"
"1532134041622","116534719444446017632","","Khopoli tren kahape hii","sandesh kalbhor","","","","","21 Jul 06:17 AM","1532134041622"
"1532134210528","112070715155351603878","","Where is the khopoli cstm train?  (sent from Kalyan Stn.)","Aakash Rachh","","","","","21 Jul 06:20 AM","1532134210528"
"1532134281592","114191044797986906702","","kaha pe hai kalyan 6:12 chi train  (sent from Kalyan Stn.)","sandesh vinerkar","","","","","21 Jul 06:21 AM","1532134281592"
"1532134578011","111434789320597950436","","6:24 train on time from shahad (sent from Shahad Stn.)","akshay raichandani","","","","","21 Jul 06:26 AM","1532134578011"
"1532134630990","112070715155351603878","","6:12 khopoli fast to cstm just arrived (kalyan) (sent from Kalyan Stn.)","Aakash Rachh","","","","","21 Jul 06:27 AM","1532134630990"
"1532134913463","112894370020260664055","","good morning... (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:31 AM","1532134913463"
"1532134928389","112894370020260664055","1","6.27 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:32 AM","1532134928389"
"1532134930601","117011865853200946385","","Titwala se 5:35 am wali train Abhi nahur ayegi (sent from Mulund)","CHARANJEET SINGH","","","","","21 Jul 06:32 AM","1532134930601"
"1532135137026","112894370020260664055","","6.35 AMBARNATH slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:35 AM","1532135137026"
"1532135294712","112894370020260664055","","6.39 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:38 AM","1532135294712"
"1532135295092","103051242031823887532","","is 6.43 train at kalyan from badlapur on time.????...shud be near ulhasnagara by now??? (sent from Kalyan Stn.)","Anagha Nagarale","","","","","21 Jul 06:38 AM","1532135295092"
"1532135370292","112894370020260664055","","6.28 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:39 AM","1532135370292"
"1532135428331","112894370020260664055","","6.31 CSMT fast local train let by 10 se15 minutes..... (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:40 AM","1532135428331"
"1532135578189","112894370020260664055","","6.36 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:42 AM","1532135578189"
"1532135872823","112894370020260664055","","6.46 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:47 AM","1532135872823"
"1532135978170","112894370020260664055","","6.46 KALYAN fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:49 AM","1532135978170"
"1532136036081","112894370020260664055","","6.51 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:50 AM","1532136036081"
"1532136142594","100725665539287107784","","6 51 cst fast will reach dombivli (sent from Kalyan Stn.)","Meghna Majethia","","","","","21 Jul 06:52 AM","1532136142594"
"1532136197211","112894370020260664055","","6.42 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:53 AM","1532136197211"
"1532136213285","112894370020260664055","","6.49 KARJAT fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:53 AM","1532136213285"
"1532136390605","104947670759391924883",""," khopoli to Cstm fast. badlapur timing 5:53. just reaching thane. 20 minutes late for reason siddheshwar express  (sent from Thane Stn.)","rakesh zugare","","","","","21 Jul 06:56 AM","1532136390605"
"1532136418711","104947670759391924883","","what is this  (sent from Thane Stn.)","rakesh zugare","","","","","21 Jul 06:56 AM","1532136418711"
"1532136438826","112894370020260664055","","6.50 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:57 AM","1532136438826"
"1532136464965","111735761878728446036","","any status on 7:08am slow train for CSMT from Thane? (sent from Kalva Stn.)","Jeetesh Rai","","","","","21 Jul 06:57 AM","1532136464965"
"1532136475051","112894370020260664055","","6.31 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 06:57 AM","1532136475051"
"1532136477614","104947670759391924883","1","every time center railway gives preferences to mail express  (sent from Thane Stn.)","rakesh zugare","","","","","21 Jul 06:57 AM","1532136477614"
"1532136607837","112894370020260664055","","6.56 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:00 AM","1532136607837"
"1532136765681","112894370020260664055","","6.57 ASANGAON slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:02 AM","1532136765681"
"1532136780053","112894370020260664055","","7.00 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:03 AM","1532136780053"
"1532136822574","107177022417965829408","","7.04 Thane csmt slow? (sent from Thane Stn.)","kashvi gala","","","","","21 Jul 07:03 AM","1532136822574"
"1532136892623","113579017183563627295","1","karjat train kaha hai","Qazi Aejaz","","","","","21 Jul 07:04 AM","1532136892623"
"1532136998738","112894370020260664055","","7.01 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:06 AM","1532136998738"
"1532137021687","112894370020260664055","","7.04 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:07 AM","1532137021687"
"1532137079573","112894370020260664055","","7.07 BADLAPUR fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:07 AM","1532137079573"
"1532137270859","112894370020260664055","","7.05 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:11 AM","1532137270859"
"1532137385248","112894370020260664055","","7.10 TITWALA slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:13 AM","1532137385248"
"1532137556235","112894370020260664055","","7.14 AMBARNATH slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:15 AM","1532137556235"
"1532137709984","112894370020260664055","","7.04 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:18 AM","1532137709984"
"1532137761007","112894370020260664055","","7.16 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:19 AM","1532137761007"
"1532137933315","112894370020260664055","","7.21 DADAR slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:22 AM","1532137933315"
"1532137999573","112894370020260664055","","7.17 DOMBIVALI slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:23 AM","1532137999573"
"1532138082633","112894370020260664055","","7.24 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:24 AM","1532138082633"
"1532138251710","112894370020260664055","","7.21 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:27 AM","1532138251710"
"1532138391925","112894370020260664055","","7.28 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:29 AM","1532138391925"
"1532138413633","112894370020260664055","","7.25 TITWALA slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:30 AM","1532138413633"
"1532138570063","114189678686586507431","","kalyan karjat","Saifulla Jalwad","","","","","21 Jul 07:32 AM","1532138570063"
"1532138600470","116702738791746952539","","11301","Sakir Sakirsk","1","","","","21 Jul 07:33 AM","1532138600470"
"1532138641562","112894370020260664055","","7.29 KARJAT fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:34 AM","1532138641562"
"1532138668247","112894370020260664055","","7.28 DOMBIVALI slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:34 AM","1532138668247"
"1532138804296","109268040489313758282","","trains are on time? ","Sharayu Sawant","","","","","21 Jul 07:36 AM","1532138804296"
"1532138904307","112894370020260664055","","7.34 KASARA fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:38 AM","1532138904307"
"1532139110365","115661270338202913124","","which station reached ambernath train...???","teck talks","","","","","21 Jul 07:41 AM","1532139110365"
"1532139115143","112894370020260664055","","7.33 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:41 AM","1532139115143"
"1532139130112","115661270338202913124","","plz someone tell me.","teck talks","","","","","21 Jul 07:42 AM","1532139130112"
"1532139264778","117386083514465228375","","can anyone plz tell me 7:55 kasara train status(sent from Kalyan stn) (sent from Kalyan Stn.)","ashwini wagh","","","","","21 Jul 07:44 AM","1532139264778"
"1532139266827","112894370020260664055","","7.36 CSMT slow local train let by 10 minutes (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:44 AM","1532139266827"
"1532139290664","112894370020260664055","","7.36 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:44 AM","1532139290664"
"1532139315313","102548650529166309590",""," trains on time or not ? frm ghatkopar","Smita Talekar","","","","","21 Jul 07:45 AM","1532139315313"
"1532139328276","102548650529166309590",""," trains on time or not ? frm ghatkopar","Smita Talekar","","","","","21 Jul 07:45 AM","1532139328276"
"1532139340726","112894370020260664055","","7.35 KALYAN slow local train let by 10 minutes (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:45 AM","1532139340726"
"1532139364865","112894370020260664055","","7.37 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:46 AM","1532139364865"
"1532139377496","100678804603150842069","1","Today is weekend day....Enjoy the weekend day... Local train update  CR Railway  Slow local are running  5 to 10 mins late  , Fast local 10 to 15 min late... WR Railway  slow local are running 5 to 7 min late and Fast local also 5 to 7 min late.. HARBOUR LINE LOCAL ARE RUNNING ON TIME...","joseph pinto","","","","","21 Jul 07:46 AM","1532139377496"
"1532139382714","107823231789358324920","","7:00 ki vasai sa diva Jana vali train nikal chuki ha Kia???? (sent from Bhiwandi Road Stn.)","Darsh Gudhka","","","","","21 Jul 07:46 AM","1532139382714"
"1532139394531","116844677979176530012","","late  (sent from Diva Jn Stn.)","JAYESH JAGTAP","","102548650529166309590"," trains on time or not ? frm ghatkopar","Smita Talekar","21 Jul 07:46 AM","1532139394531"
"1532139448012","112894370020260664055","","7.35 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:47 AM","1532139448012"
"1532139448961","116844677979176530012","","7:44 dadar fast arrives at diva  (sent from Diva Jn Stn.)","JAYESH JAGTAP","","","","","21 Jul 07:47 AM","1532139448961"
"1532139469992","100678804603150842069","1","7:43 Fast local for Mumbai CST from vagani is running on time.. Same 7:33 from Badlapur, 7:40 from Ambernath  this is run.. as Deccan Queen speed","joseph pinto","","","","","21 Jul 07:47 AM","1532139469992"
"1532139571448","112894370020260664055","","7.46 BADLAPUR fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:49 AM","1532139571448"
"1532139635580","100678804603150842069","1","In peak Hours many Short train been canclled As Kurla And Thane slow becuse of Lack of Motormen... I feel passengers of CR if u have complaint or suggestions u can put in Suggestions box.. at station master office  (sent from Badlapur Stn.)","joseph pinto","","","","","21 Jul 07:50 AM","1532139635580"
"1532139681444","112894370020260664055","","7.40 DADAR slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:51 AM","1532139681444"
"1532139737064","100678804603150842069","","7:52 fast local for Mumbai CST is arrived on platform no 2  (sent from Badlapur Stn.)","joseph pinto","","","","","21 Jul 07:52 AM","1532139737064"
"1532139773271","100678804603150842069","","7:59 fast local for Mumbai CST from ambernath is running on time just dep From badalpur (sent from Badlapur Stn.)","joseph pinto","","","","","21 Jul 07:52 AM","1532139773271"
"1532139778605","112894370020260664055","","7.48 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:52 AM","1532139778605"
"1532139803762","100678804603150842069","","7:57 slow local for Thane is arrvied on platform no 1 (sent from Badlapur Stn.)","joseph pinto","","","","","21 Jul 07:53 AM","1532139803762"
"1532139812725","112894370020260664055","","7.55 CSMT slow local train halted on plf no 3 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:53 AM","1532139812725"
"1532139846886","112894370020260664055","","7.32 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:54 AM","1532139846886"
"1532139929476","102514964739117721302","","7:59 Kalyan dadar is on time or late and where it reached? (sent from Thane)","Dhanashree Jawle","","","","","21 Jul 07:55 AM","1532139929476"
"1532139943973","112894370020260664055","","7.47 AMBARNATH slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:55 AM","1532139943973"
"1532140015273","112894370020260664055","","7.48 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:56 AM","1532140015273"
"1532140074638","100678804603150842069","2","I observed.. On Fast line Local leaves Form. Badlapur or Karjat on Time... mostly local halts between Vitawalwdi and between Kalyan,  Before Thane stn,  Before Diva stn... For Traffic reason as train crossing... Local reaching till Dadar it becomes  10 to 15 late or more..The govt  think of it (sent from Badlapur Stn.)","joseph pinto","","","","","21 Jul 07:57 AM","1532140074638"
"1532140085765","112894370020260664055","","7.55 CSMT slow local train left from plf no 3 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:58 AM","1532140085765"
"1532140184219","112894370020260664055","","7.55 TITWALA slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:59 AM","1532140184219"
"1532140199989","112894370020260664055","","7.52 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 07:59 AM","1532140199989"
"1532140358520","102704618050399817675","","कल्याणवरून लोकल तशा वेळेवर आहेत. आठवड्याचा शेवटचा दिवस आहे तरी सर्वांनी कामावर निघण्यास हरकत नसावी.  (sent from Kalyan Stn.)","Nitin Masale","","","","","21 Jul 08:02 AM","1532140358520"
"1532140381378","108817819930584819670",""," plz update about khopoli train (sent from Koparkhairne Stn.)","Pratiksha Sakunde","","","","","21 Jul 08:03 AM","1532140381378"
"1532140397557","112894370020260664055","","7.41 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:03 AM","1532140397557"
"1532140425758","107315657911413164495","","Kasara station mobile ticket dispenser not working.  (sent from Kasara Stn.)","Shrinivas Athavale","","","","","21 Jul 08:03 AM","1532140425758"
"1532140431207","112894370020260664055","1","7.59 ASANGAON slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:03 AM","1532140431207"
"1532140464243","112894370020260664055","1","7.59 DADAR fast local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:04 AM","1532140464243"
"1532140498961","112894370020260664055","1","8.05 KALYAN fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:04 AM","1532140498961"
"1532140588097","103809333009805130589","","Dombivali to cst (sent from Dombivli Stn.)","MANOJ PARMAR","","","","","21 Jul 08:06 AM","1532140588097"
"1532140620314","112894370020260664055","1","7.44 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:07 AM","1532140620314"
"1532140635888","100678804603150842069","21","current update... Central line local are running on time... some local 5 to 7 min late... Western Railway slow local on time and fast 5 to 7 min late... Harbour line is running 5 to 10 min late today.... All. 3 line are running smoothly and fine (sent from Ambernath Stn.)","joseph pinto","1","","","","21 Jul 08:07 AM","1532140635888"
"1532140644348","101091975043989763075","","jalgaon user","Shyam Badgujar","","","","","21 Jul 08:07 AM","1532140644348"
"1532140649011","112894370020260664055","","8.03 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:07 AM","1532140649011"
"1532140694793","100678804603150842069","","8:02 slow local for karjat it's shortly on platform no 1 (sent from Ambernath Stn.)","joseph pinto","","","","","21 Jul 08:08 AM","1532140694793"
"1532140710484","100678804603150842069","1","8:04 slow local for Thane is arrvied on platform no 3  (sent from Ambernath Stn.)","joseph pinto","","","","","21 Jul 08:08 AM","1532140710484"
"1532140712228","112894370020260664055","1","8.03 CSMT fast local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:08 AM","1532140712228"
"1532140748587","100678804603150842069","","8:10 min Fast local for Mumbai CST will arrvied on platform no 2  (sent from Ambernath Stn.)","joseph pinto","","","","","21 Jul 08:09 AM","1532140748587"
"1532140823937","112894370020260664055","","8.10 KHOPOLI fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:10 AM","1532140823937"
"1532140944278","112894370020260664055","","7.56: CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:12 AM","1532140944278"
"1532141011979","112894370020260664055","","8.06 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:13 AM","1532141011979"
"1532141071745","112894370020260664055","","7.52 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:14 AM","1532141071745"
"1532141122102","100678804603150842069","1","Badlapur - Thane Halt at Between Ulhasnagar and Vittalwadi. ..due to Traffic.. Goods train crossing  (sent from Vithalwadi)","joseph pinto","","","","","21 Jul 08:15 AM","1532141122102"
"1532141139709","108228083951695101535","","8.22 Train Dombivali to Khopoli running on time???","Mohit Ranjan","","","","","21 Jul 08:15 AM","1532141139709"
"1532141157169","112894370020260664055","","8.10 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:15 AM","1532141157169"
"1532141255792","112894370020260664055","","8.11 DOMBIVALI slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:17 AM","1532141255792"
"1532141278454","101154008801215931798","","byculla Jane ka hai train chalu hai? (sent from Sion)","Sameem Khan","","","","","21 Jul 08:17 AM","1532141278454"
"1532141298163","112894370020260664055","","8.36 CSMT slow local train is today cancelled.... (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:18 AM","1532141298163"
"1532141338982","101154008801215931798","","aur train chalu hai ? (sent from Sion)","Sameem Khan","","","","","21 Jul 08:18 AM","1532141338982"
"1532141391968","101154008801215931798","","tell me sir (sent from Sion)","Sameem Khan","","","","","21 Jul 08:19 AM","1532141391968"
"1532141404660","104505031098241598199","","Sion me jor se barish ho rahi hai (sent from Sion Stn.)","Ankit Kharpude","","","","","21 Jul 08:20 AM","1532141404660"
"1532141404682","112894370020260664055","","8.07 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:20 AM","1532141404682"
"1532141429093","112894370020260664055","","8.14 CSMT fast local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:20 AM","1532141429093"
"1532141452779","104505031098241598199","","agar aise he chlta Raha toh train aur jyada late hogi (sent from Sion Stn.)","Ankit Kharpude","","","","","21 Jul 08:20 AM","1532141452779"
"1532141453363","117885500532836844705","","cst train just left (sent from Thakurli Stn.)","pradeep srivastava","","","","","21 Jul 08:20 AM","1532141453363"
"1532141461902","110601277942829834813","","8.10 from thane khopoli local???","Shashank Shah","","","","","21 Jul 08:21 AM","1532141461902"
"1532141493788","104505031098241598199","","ha chlu hai (sent from Sion Stn.)","Ankit Kharpude","","101154008801215931798","tell me sir (sent from Sion)","Sameem Khan","21 Jul 08:21 AM","1532141493788"
"1532141511331","112894370020260664055","","8.19 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:21 AM","1532141511331"
"1532141521301","115974873550372183338","","curry (sent from Kurla)","Musi Khan","","","","","21 Jul 08:22 AM","1532141521301"
"1532141589832","112894370020260664055","","8.11 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:23 AM","1532141589832"
"1532141728000","114767893777665359770","","heavy rains in Ghatkopar (sent from Ghatkopar Stn.)","Anand Prajapati","","","","","21 Jul 08:25 AM","1532141728000"
"1532141734823","112894370020260664055","","8.18 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:25 AM","1532141734823"
"1532141736775","116459936169556189957","","train chalu hai time per? (sent from Vithalwadi)","shankar pagare","","","","","21 Jul 08:25 AM","1532141736775"
"1532141795512","112894370020260664055","","8.18 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:26 AM","1532141795512"
"1532141800538","113776981330553071664","","tomorrow is there a megablock?  (sent from Mira Road)","Tangible Results","","","","","21 Jul 08:26 AM","1532141800538"
"1532141905073","102230593626547673842","","yes (sent from Ghansoli Stn.)","Sagar Bhakre","","","","","21 Jul 08:28 AM","1532141905073"
"1532141914828","112894370020260664055","","8.27 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:28 AM","1532141914828"
"1532141920288","114374432398665940131","","train chalu hai kya time pr ,kurla sion me pani ni na bhara hai","Asifa Kelkar","","","","","21 Jul 08:28 AM","1532141920288"
"1532142014875","112894370020260664055","","8.22 CSMT fast local train arrived on plf no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:30 AM","1532142014875"
"1532142044773","112894370020260664055","","8.25 CSMT fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 08:30 AM","1532142044773"
"1532142310765","111509002752056571739","","local is on time or not (sent from Vidyavihar)","Sayyed Rizwan","","","","","21 Jul 08:35 AM","1532142310765"
"1532142341041","103242076912635890167","1"," sion se ambarnath keliye koi Train hai. ","Juel Malkari","","","","","21 Jul 08:35 AM","1532142341041"
"1532142461309","104778075341605696676",""," Mumbai me bharish Train ka time renal per koi aasar hova hai kya sir ","DSOUZA MELIKERI","","","","","21 Jul 08:37 AM","1532142461309"
"1532142476012","100678804603150842069","","Not full day... only for 15.to 20 mins (sent from Kalyan Stn.)","joseph pinto","","114767893777665359770","heavy rains in Ghatkopar (sent from Ghatkopar Stn.)","Anand Prajapati","21 Jul 08:37 AM","1532142476012"
"1532142497504","109467314729371944297","","is there train on time? (sent from Kanjur Marg Stn.)","Abhijeet Ghorpade","","","","","21 Jul 08:38 AM","1532142497504"
"1532142513887","100678804603150842069","","All is fine... scroll up and see Ole messages (sent from Kalyan Stn.)","joseph pinto","","104778075341605696676"," Mumbai me bharish Train ka time renal per koi aasar hova hai kya sir ","DSOUZA MELIKERI","21 Jul 08:38 AM","1532142513887"
"1532142541161","100678804603150842069","1","Train.... are fine and running normal (sent from Kalyan Stn.)","joseph pinto","","100678804603150842069","current update... Central line local are running on time... some local 5 to 7 min late... Western Railway slow local on time and fast 5 to 7 min late... Harbour line is running 5 to 10 min late today.... All. 3 line are running smoothly and fine (sent from Ambernath Stn.)","joseph pinto","21 Jul 08:39 AM","1532142541161"
"1532142700539","109373286540510371386","","sionmadhe paus ahe ka.plzz sanga na....","Scientific Eye","","","","","21 Jul 08:41 AM","1532142700539"
"1532142754577","100678804603150842069","2","Rain is on And Train is on..... let go to work... Rain is doing his work we will do our work (sent from Kalyan Stn.)","joseph pinto","","","","","21 Jul 08:42 AM","1532142754577"
